epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.2378,3.28347,47.8653,0.00948,0.00018,0.00866,0.0001,2e-05,2.95085,22.3012,0.00883,8.232e-05,8.232e-05,8.232e-05
2,48.3,2.57787,32.0977,0.00684,0.01397,0.22005,0.02417,0.01045,2.47618,13.9817,0.00666,0.000169676,0.000169676,0.000169676
3,63.3457,1.95063,18.2455,0.00463,0.10885,0.23168,0.09064,0.03199,2.53381,10.2892,0.00692,0.000256159,0.000256159,0.000256159
4,80.3264,1.89073,12.2326,0.00442,0.29909,0.2713,0.18658,0.06636,2.47815,8.77125,0.00683,0.000341768,0.000341768,0.000341768
5,95.5184,1.7382,9.51214,0.00397,0.32711,0.38005,0.28833,0.10709,2.40345,8.14276,0.00664,0.000426505,0.000426505,0.000426505
6,110.51,1.71642,7.80017,0.00396,0.40728,0.40959,0.3479,0.11672,2.48407,7.82563,0.00684,0.000510368,0.000510368,0.000510368
7,125.438,1.72649,6.71636,0.00404,0.48,0.44955,0.40614,0.15464,2.38983,6.77101,0.00652,0.000570536,0.000570536,0.000570536
8,140.6,1.7056,6.1374,0.00394,0.47721,0.47354,0.44128,0.18651,2.26354,6.40933,0.00618,0.000567626,0.000567626,0.000567626
9,155.617,1.6712,5.6123,0.0038,0.54835,0.46042,0.46838,0.19047,2.29153,6.12217,0.00604,0.000564715,0.000564715,0.000564715
10,170.538,1.65693,5.39368,0.00376,0.62188,0.50439,0.51228,0.18252,2.45033,6.05439,0.00675,0.000561805,0.000561805,0.000561805
11,185.468,1.67413,4.89961,0.00381,0.6689,0.53043,0.58765,0.27257,2.13902,5.2428,0.0057,0.000558894,0.000558894,0.000558894
12,200.423,1.60077,4.40595,0.00382,0.58855,0.51249,0.52311,0.20251,2.27953,5.56787,0.00608,0.000555983,0.000555983,0.000555983
13,215.205,1.63421,4.66057,0.0036,0.656,0.5144,0.5232,0.18104,2.40712,5.41291,0.00631,0.000553073,0.000553073,0.000553073
14,230.03,1.60339,4.1548,0.00361,0.6674,0.55517,0.58886,0.23892,2.22614,5.10074,0.0058,0.000550162,0.000550162,0.000550162
15,244.876,1.61196,3.80127,0.00361,0.55629,0.43243,0.3884,0.09992,2.81662,5.77252,0.00803,0.000547252,0.000547252,0.000547252
