epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.119,3.21563,47.1619,0.00914,0,0.00076,0,0,2.85635,22.1667,0.00832,8.232e-05,8.232e-05,8.232e-05
2,49.0343,2.40276,30.5368,0.00617,0.01723,0.18912,0.02169,0.00951,2.61149,15.0107,0.00743,0.000169676,0.000169676,0.000169676
3,64.0852,2.03668,18.3653,0.00487,0.16301,0.21235,0.07623,0.02502,2.78742,11.5452,0.0081,0.000256159,0.000256159,0.000256159
4,79.1936,1.87157,12.2116,0.00434,0.25662,0.28188,0.18119,0.0602,2.61514,9.28584,0.00735,0.000341768,0.000341768,0.000341768
5,95.5014,1.80845,9.33579,0.00417,0.26676,0.3133,0.19622,0.05895,2.63407,8.84885,0.00717,0.000426505,0.000426505,0.000426505
6,110.285,1.78657,7.65924,0.00408,0.35074,0.37929,0.28967,0.09417,2.56938,8.83249,0.007,0.000510368,0.000510368,0.000510368
7,125.257,1.81351,6.79597,0.00422,0.36245,0.39053,0.30791,0.09367,2.60792,7.96995,0.00712,0.000570536,0.000570536,0.000570536
8,140.045,1.78718,6.14624,0.00413,0.45416,0.38713,0.34887,0.10721,2.71564,7.34453,0.00776,0.000567626,0.000567626,0.000567626
9,155.014,1.74407,5.57318,0.00404,0.49714,0.43019,0.39575,0.12648,2.58411,6.83455,0.00714,0.000564715,0.000564715,0.000564715
10,170.016,1.78622,5.42474,0.00406,0.62255,0.45558,0.47821,0.1826,2.37321,6.19414,0.00631,0.000561805,0.000561805,0.000561805
11,185.036,1.68782,5.06275,0.00384,0.52136,0.39357,0.35892,0.10117,2.66108,6.85846,0.0072,0.000558894,0.000558894,0.000558894
12,199.834,1.64248,4.9723,0.00385,0.63168,0.45562,0.49663,0.19274,2.26075,5.77171,0.00566,0.000555983,0.000555983,0.000555983
13,214.806,1.70446,4.89061,0.00382,0.64192,0.53786,0.58557,0.27842,2.05607,5.32216,0.00517,0.000553073,0.000553073,0.000553073
14,229.745,1.60174,4.38458,0.0037,0.6657,0.51597,0.55003,0.20935,2.4138,5.41429,0.00665,0.000550162,0.000550162,0.000550162
15,244.617,1.63278,4.25711,0.00376,0.71739,0.53099,0.58837,0.21995,2.29588,5.43625,0.00585,0.000547252,0.000547252,0.000547252
16,259.531,1.65881,4.46356,0.00376,0.68903,0.47338,0.50832,0.15913,2.6238,5.52542,0.00712,0.000544341,0.000544341,0.000544341
17,274.484,1.61682,3.99672,0.00347,0.73486,0.5548,0.62994,0.23151,2.36049,5.05534,0.00609,0.00054143,0.00054143,0.00054143
18,289.454,1.67452,4.0702,0.00383,0.73103,0.57572,0.63082,0.25869,2.25149,5.06074,0.00596,0.00053852,0.00053852,0.00053852
19,304.276,1.66566,4.20532,0.00381,0.72346,0.54077,0.59487,0.21505,2.45245,5.35606,0.00662,0.000535609,0.000535609,0.000535609
20,319.089,1.58035,3.79077,0.00351,0.7118,0.52794,0.5942,0.23617,2.35084,5.51947,0.00628,0.000532699,0.000532699,0.000532699
21,333.891,1.62327,3.50235,0.00344,0.78165,0.58477,0.67012,0.26649,2.30979,5.03369,0.00597,0.000529788,0.000529788,0.000529788
22,349.072,1.57997,3.42764,0.00349,0.7634,0.57213,0.64152,0.25967,2.2775,4.92223,0.00596,0.000526877,0.000526877,0.000526877
23,364.001,1.52047,3.19581,0.00344,0.75891,0.59577,0.6554,0.26426,2.28269,4.67319,0.00592,0.000523967,0.000523967,0.000523967
24,378.909,1.60776,3.27254,0.00343,0.77512,0.61383,0.67013,0.25613,2.30778,4.56901,0.00595,0.000521056,0.000521056,0.000521056
25,393.718,1.54448,3.04458,0.00338,0.80687,0.62837,0.70386,0.33235,2.02615,4.39898,0.00518,0.000518146,0.000518146,0.000518146
26,408.642,1.64769,3.23602,0.00356,0.77565,0.57126,0.63687,0.24848,2.30258,5.23997,0.00601,0.000515235,0.000515235,0.000515235
27,423.526,1.54347,3.32217,0.00343,0.77957,0.63683,0.68294,0.28992,2.21179,4.51445,0.0058,0.000512324,0.000512324,0.000512324
28,438.308,1.52104,3.10677,0.00344,0.81381,0.62995,0.70592,0.31888,2.11059,4.58213,0.00537,0.000509414,0.000509414,0.000509414
29,453.092,1.52386,3.16082,0.00366,0.78749,0.65292,0.71128,0.3256,2.08509,4.42179,0.0053,0.000506503,0.000506503,0.000506503
30,467.922,1.51007,2.78077,0.00343,0.81915,0.64358,0.71285,0.31673,2.1139,4.32493,0.00546,0.000503593,0.000503593,0.000503593
31,482.864,1.50275,2.96378,0.00348,0.83583,0.63101,0.72183,0.3217,2.13128,4.27875,0.00542,0.000500682,0.000500682,0.000500682
32,497.734,1.48913,2.97555,0.00364,0.79041,0.62392,0.6844,0.29077,2.17057,4.15026,0.00543,0.000497771,0.000497771,0.000497771
33,512.56,1.51974,2.93,0.00327,0.80416,0.63593,0.69007,0.25676,2.34889,4.339,0.00619,0.000494861,0.000494861,0.000494861
34,527.324,1.47931,2.7614,0.00352,0.82506,0.61536,0.69163,0.27047,2.30489,4.5609,0.00587,0.00049195,0.00049195,0.00049195
35,542.148,1.48451,2.72151,0.00323,0.81635,0.60964,0.69786,0.28073,2.22296,4.33119,0.00565,0.00048904,0.00048904,0.00048904
36,556.853,1.44897,2.8418,0.00339,0.85768,0.64089,0.73316,0.32945,2.08398,4.00026,0.00527,0.000486129,0.000486129,0.000486129
37,571.627,1.49859,2.57891,0.00321,0.86888,0.65908,0.72879,0.31164,2.17279,4.24612,0.00549,0.000483218,0.000483218,0.000483218
38,586.443,1.50441,2.83027,0.00336,0.89426,0.636,0.72137,0.28578,2.2376,4.40213,0.00559,0.000480308,0.000480308,0.000480308
39,601.324,1.41354,2.33515,0.00307,0.83436,0.64944,0.71472,0.30088,2.18901,4.15922,0.00546,0.000477397,0.000477397,0.000477397
40,616.313,1.47058,2.47716,0.00317,0.85277,0.63169,0.68883,0.26233,2.33589,4.0727,0.00591,0.000474487,0.000474487,0.000474487
41,631.269,1.44604,2.32128,0.00351,0.86721,0.65367,0.73296,0.30853,2.21812,4.20105,0.00574,0.000471576,0.000471576,0.000471576
42,646.117,1.42143,2.38236,0.0032,0.87484,0.64594,0.75012,0.36422,2.01003,3.95715,0.005,0.000468665,0.000468665,0.000468665
43,661.009,1.39595,2.38972,0.00308,0.86942,0.6357,0.73463,0.30578,2.20945,3.96055,0.00554,0.000465755,0.000465755,0.000465755
44,675.761,1.38294,2.38727,0.00326,0.85025,0.65824,0.75011,0.34785,2.05242,4.16608,0.00514,0.000462844,0.000462844,0.000462844
45,690.645,1.40973,2.35466,0.00306,0.8011,0.64156,0.71789,0.31156,2.14646,4.02533,0.00547,0.000459934,0.000459934,0.000459934
46,705.534,1.41497,2.48142,0.00311,0.87711,0.66042,0.74897,0.29686,2.25237,3.81625,0.0058,0.000457023,0.000457023,0.000457023
47,720.457,1.35029,2.27704,0.00298,0.87968,0.6444,0.72935,0.30571,2.20775,3.84737,0.00547,0.000454112,0.000454112,0.000454112
48,735.2,1.39742,2.31378,0.00336,0.87947,0.65303,0.7224,0.29191,2.32521,3.83973,0.00618,0.000451202,0.000451202,0.000451202
49,749.991,1.45139,2.25445,0.0032,0.88271,0.66442,0.746,0.29365,2.24998,3.61158,0.0056,0.000448291,0.000448291,0.000448291
50,764.839,1.44104,2.28481,0.00316,0.84594,0.65127,0.72795,0.29634,2.27842,3.97065,0.00607,0.000445381,0.000445381,0.000445381
51,779.667,1.35782,2.30731,0.00292,0.76413,0.58225,0.60673,0.18816,2.63262,4.48823,0.00712,0.00044247,0.00044247,0.00044247
52,794.594,1.41299,2.4631,0.00327,0.88744,0.64434,0.75112,0.34326,2.06697,3.66119,0.00517,0.000439559,0.000439559,0.000439559
53,809.301,1.34589,1.98651,0.00287,0.89281,0.66218,0.7633,0.37383,1.98193,3.65724,0.00495,0.000436649,0.000436649,0.000436649
54,824.266,1.35746,2.1171,0.00293,0.86602,0.63734,0.74167,0.3359,2.10781,3.95719,0.00536,0.000433738,0.000433738,0.000433738
55,839.04,1.33661,2.02951,0.00306,0.88277,0.66158,0.74449,0.30003,2.28891,3.7889,0.0059,0.000430828,0.000430828,0.000430828
56,853.887,1.36269,2.11262,0.00311,0.87954,0.70401,0.77309,0.3394,2.11697,3.67605,0.00536,0.000427917,0.000427917,0.000427917
57,868.759,1.36041,2.03477,0.00314,0.85938,0.64876,0.71194,0.25708,2.40004,4.15398,0.0062,0.000425006,0.000425006,0.000425006
58,883.88,1.30188,1.80292,0.00278,0.82071,0.6275,0.6738,0.23517,2.44474,4.39671,0.0064,0.000422096,0.000422096,0.000422096
59,898.8,1.31952,1.88466,0.0029,0.90159,0.68305,0.77396,0.34142,2.12874,3.57428,0.00539,0.000419185,0.000419185,0.000419185
60,913.513,1.3358,1.9869,0.00312,0.84468,0.61309,0.68531,0.22754,2.46491,4.18983,0.00624,0.000416275,0.000416275,0.000416275
61,928.335,1.32518,2.09293,0.00319,0.86963,0.64145,0.73916,0.29639,2.23812,3.82357,0.00571,0.000413364,0.000413364,0.000413364
62,943.196,1.31415,1.77071,0.00294,0.88426,0.69494,0.77774,0.39573,1.95297,3.58517,0.00503,0.000410453,0.000410453,0.000410453
63,958.193,1.29198,1.88082,0.00285,0.90204,0.68484,0.78078,0.39258,1.94416,3.53606,0.00493,0.000407543,0.000407543,0.000407543
64,973.133,1.34872,1.89271,0.00294,0.8842,0.70096,0.77576,0.36235,2.0766,3.72475,0.00526,0.000404632,0.000404632,0.000404632
65,987.953,1.259,1.68025,0.00262,0.87028,0.68493,0.76521,0.3707,2.0239,3.83588,0.00515,0.000401722,0.000401722,0.000401722
66,1002.76,1.29405,1.66495,0.00293,0.88644,0.68088,0.76544,0.3672,2.04875,3.75309,0.0052,0.000398811,0.000398811,0.000398811
67,1017.57,1.29141,1.74817,0.0027,0.87812,0.66053,0.74826,0.31206,2.24317,3.73682,0.00578,0.0003959,0.0003959,0.0003959
