epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.8404,3.10606,47.3305,0.00787,0,0,0,0,2.82162,21.6643,0.00811,8.232e-05,8.232e-05,8.232e-05
2,49.8374,2.39997,30.4715,0.00539,0.64405,0.03797,0.03317,0.01603,2.25095,13.8139,0.00608,0.000169676,0.000169676,0.000169676
3,64.8125,1.94994,17.9141,0.00405,0.27466,0.26756,0.13309,0.06165,2.11482,11.3695,0.00557,0.000256159,0.000256159,0.000256159
4,80.7037,1.91571,11.6424,0.00388,0.31403,0.35732,0.27671,0.13469,1.98992,8.51409,0.00508,0.000341768,0.000341768,0.000341768
5,96.0243,1.85005,8.53836,0.00378,0.4045,0.41956,0.35932,0.14647,2.2335,7.15412,0.00584,0.000426505,0.000426505,0.000426505
6,111.012,1.83431,6.79071,0.00372,0.4789,0.41553,0.40897,0.18088,2.29301,7.63925,0.0065,0.000510368,0.000510368,0.000510368
7,126.202,1.79724,5.99414,0.00366,0.50341,0.50915,0.50558,0.27371,1.97906,6.23773,0.00529,0.000570536,0.000570536,0.000570536
8,141.159,1.75171,5.46063,0.00343,0.59901,0.54415,0.55653,0.28233,2.03065,5.79047,0.00559,0.000567626,0.000567626,0.000567626
9,156.14,1.68787,4.8918,0.00335,0.54088,0.45569,0.48396,0.23482,2.11192,6.02391,0.00589,0.000564715,0.000564715,0.000564715
10,170.973,1.74711,4.68255,0.00349,0.61294,0.4929,0.5432,0.23845,2.21172,6.52143,0.00579,0.000561805,0.000561805,0.000561805
11,185.819,1.65487,4.19274,0.00328,0.68719,0.5369,0.58339,0.20687,2.47516,5.54452,0.00657,0.000558894,0.000558894,0.000558894
12,200.623,1.64967,3.9175,0.00338,0.69533,0.5605,0.61494,0.2389,2.35556,5.226,0.00631,0.000555983,0.000555983,0.000555983
13,215.549,1.63188,4.11246,0.00324,0.61084,0.48695,0.51779,0.23196,2.10641,5.72962,0.0054,0.000553073,0.000553073,0.000553073
14,230.313,1.49421,3.60047,0.00295,0.71847,0.57536,0.64064,0.30793,2.06371,5.1533,0.00524,0.000550162,0.000550162,0.000550162
15,245.348,1.54723,3.34918,0.00309,0.7268,0.5749,0.63331,0.29772,2.06377,5.2685,0.00539,0.000547252,0.000547252,0.000547252
16,260.135,1.53866,3.39104,0.003,0.71722,0.58253,0.64411,0.28911,2.12224,5.26085,0.00553,0.000544341,0.000544341,0.000544341
17,275.057,1.52591,2.98679,0.0028,0.77005,0.57004,0.65278,0.32171,2.0342,5.00878,0.00515,0.00054143,0.00054143,0.00054143
18,290.02,1.50552,3.13705,0.00289,0.72567,0.56383,0.63613,0.3191,1.96175,5.16591,0.00504,0.00053852,0.00053852,0.00053852
19,304.76,1.49141,2.97596,0.00286,0.79367,0.54516,0.63486,0.25766,2.24234,5.46479,0.00566,0.000535609,0.000535609,0.000535609
20,319.5,1.42746,2.79144,0.00271,0.73315,0.54193,0.60238,0.32652,1.83333,5.68607,0.00449,0.000532699,0.000532699,0.000532699
21,334.46,1.47926,2.63104,0.00269,0.77465,0.56804,0.66366,0.35403,1.85988,4.87783,0.00453,0.000529788,0.000529788,0.000529788
22,349.922,1.46225,2.59165,0.00273,0.7178,0.52234,0.59141,0.24904,2.22364,6.01978,0.0057,0.000526877,0.000526877,0.000526877
23,364.753,1.46512,2.39173,0.00285,0.78746,0.60334,0.68572,0.344,1.96857,4.91425,0.00508,0.000523967,0.000523967,0.000523967
24,379.738,1.38039,2.21176,0.00246,0.73875,0.58718,0.65185,0.28483,2.1536,5.07413,0.00539,0.000521056,0.000521056,0.000521056
25,394.499,1.36302,2.09259,0.00251,0.74253,0.59409,0.67525,0.35004,1.94105,5.16859,0.00488,0.000518146,0.000518146,0.000518146
26,409.482,1.37952,2.15488,0.00251,0.81177,0.58539,0.67531,0.36793,1.83214,4.84651,0.00471,0.000515235,0.000515235,0.000515235
