epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,650.85,0.49271,0.4758,0.00078,0.68929,0.51717,0.6102,0.40158,1.70493,7.15789,0.00438,0.000468665,0.000468665,0.000468665
43,665.618,0.49161,0.45314,0.00077,0.69738,0.5237,0.61485,0.40571,1.6991,7.04066,0.00436,0.000465755,0.000465755,0.000465755
44,680.344,0.49647,0.46213,0.00086,0.70488,0.52598,0.62116,0.40743,1.70965,7.11306,0.00435,0.000462844,0.000462844,0.000462844
45,695.153,0.45005,0.41555,0.00067,0.7261,0.5212,0.62215,0.40979,1.70858,7.13416,0.00446,0.000459934,0.000459934,0.000459934
46,710.024,0.44228,0.41618,0.0007,0.73295,0.52804,0.63309,0.42045,1.69171,7.05437,0.00438,0.000457023,0.000457023,0.000457023
47,724.92,0.40447,0.38227,0.00063,0.70693,0.53241,0.63585,0.42424,1.68283,7.00689,0.00437,0.000454112,0.000454112,0.000454112
48,739.782,0.39992,0.38332,0.00067,0.71406,0.52628,0.63319,0.42527,1.68306,7.08211,0.00437,0.000451202,0.000451202,0.000451202
49,754.81,0.41645,0.38847,0.0006,0.69551,0.54184,0.62976,0.41772,1.70959,6.96904,0.00436,0.000448291,0.000448291,0.000448291
50,769.55,0.42093,0.4062,0.00061,0.71584,0.53896,0.63755,0.42568,1.69933,6.95854,0.00445,0.000445381,0.000445381,0.000445381
51,784.539,0.39912,0.37344,0.00057,0.68576,0.52891,0.63096,0.41916,1.70481,7.14436,0.00446,0.00044247,0.00044247,0.00044247
52,799.517,0.39503,0.3673,0.00062,0.68395,0.55649,0.6389,0.42437,1.71436,7.04892,0.00456,0.000439559,0.000439559,0.000439559
53,814.265,0.37893,0.34873,0.00056,0.75318,0.52378,0.63858,0.4288,1.70336,7.02516,0.00455,0.000436649,0.000436649,0.000436649
54,829.183,0.35891,0.3331,0.0005,0.71836,0.52952,0.63682,0.42654,1.67357,7.1053,0.00435,0.000433738,0.000433738,0.000433738
55,843.993,0.36132,0.32758,0.00057,0.70402,0.54389,0.6398,0.42618,1.70119,7.1217,0.00445,0.000430828,0.000430828,0.000430828
56,858.8,0.36057,0.33239,0.00057,0.6846,0.54457,0.63649,0.4267,1.69724,7.10961,0.00449,0.000427917,0.000427917,0.000427917
