epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.0326,3.22064,47.3633,0.00903,8e-05,0.0011,4e-05,0,2.84343,22.1076,0.00817,8.232e-05,8.232e-05,8.232e-05
2,49.9041,2.48197,30.6319,0.00636,0.36782,0.06796,0.02385,0.00934,2.58656,13.8164,0.00727,0.000169676,0.000169676,0.000169676
3,64.8826,2.00653,18.0942,0.00471,0.09365,0.18749,0.06408,0.01617,3.04485,11.9982,0.00921,0.000256159,0.000256159,0.000256159
4,80.4839,1.93665,12.0982,0.00432,0.19407,0.25985,0.14482,0.03884,2.89128,9.18207,0.00868,0.000341768,0.000341768,0.000341768
5,96.6239,1.85307,9.1468,0.0042,0.26162,0.33393,0.22921,0.07182,2.52934,8.80643,0.00677,0.000426505,0.000426505,0.000426505
6,111.607,1.84919,7.59589,0.00421,0.37134,0.37796,0.31486,0.10298,2.61695,7.68666,0.00761,0.000510368,0.000510368,0.000510368
7,126.594,1.86308,6.66815,0.0042,0.48113,0.44358,0.41386,0.14788,2.44475,6.82748,0.00667,0.000570536,0.000570536,0.000570536
8,141.577,1.78147,6.29054,0.00413,0.43148,0.3879,0.34384,0.11941,2.57241,7.77901,0.00708,0.000567626,0.000567626,0.000567626
9,156.413,1.71967,5.89189,0.00394,0.58342,0.49044,0.49851,0.19241,2.31781,5.95001,0.00603,0.000564715,0.000564715,0.000564715
10,171.388,1.72152,5.40256,0.00387,0.61531,0.48226,0.49975,0.17006,2.47906,6.42076,0.0068,0.000561805,0.000561805,0.000561805
11,186.305,1.6997,5.06406,0.00387,0.61261,0.5016,0.51816,0.20217,2.38988,6.26073,0.0068,0.000558894,0.000558894,0.000558894
12,201.347,1.66829,4.99963,0.00386,0.61011,0.5505,0.56294,0.2733,2.09885,5.71229,0.00564,0.000555983,0.000555983,0.000555983
13,216.402,1.7684,4.74314,0.00403,0.61718,0.49089,0.48985,0.15721,2.52879,6.08591,0.00704,0.000553073,0.000553073,0.000553073
14,231.28,1.62297,4.46122,0.00366,0.67854,0.53099,0.60265,0.29267,2.02702,5.41848,0.00534,0.000550162,0.000550162,0.000550162
15,246.229,1.66285,4.05159,0.00375,0.72757,0.60065,0.66308,0.33138,1.97255,4.8707,0.00515,0.000547252,0.000547252,0.000547252
16,261.275,1.65455,4.47041,0.00373,0.70126,0.59515,0.64863,0.32268,1.99705,5.03735,0.00525,0.000544341,0.000544341,0.000544341
17,276.211,1.706,4.00391,0.00356,0.69428,0.53834,0.58779,0.21329,2.44334,5.1756,0.00643,0.00054143,0.00054143,0.00054143
18,290.999,1.62755,3.99618,0.00355,0.70017,0.55908,0.61714,0.28035,2.10966,5.16791,0.00548,0.00053852,0.00053852,0.00053852
19,305.711,1.70627,3.9462,0.00389,0.76178,0.59726,0.66912,0.35507,1.92455,4.8889,0.00498,0.000535609,0.000535609,0.000535609
20,320.679,1.59219,3.44827,0.0035,0.7927,0.58458,0.67877,0.32215,2.06092,4.61452,0.00523,0.000532699,0.000532699,0.000532699
21,335.5,1.57263,3.3015,0.00334,0.78532,0.58598,0.65251,0.28954,2.20708,4.89638,0.00582,0.000529788,0.000529788,0.000529788
22,350.455,1.60352,3.35762,0.00351,0.74906,0.59937,0.6647,0.30625,2.13403,5.17645,0.00552,0.000526877,0.000526877,0.000526877
23,365.419,1.58607,3.36179,0.00353,0.76083,0.61532,0.67961,0.32601,2.0852,4.82621,0.00557,0.000523967,0.000523967,0.000523967
24,380.213,1.59135,3.25943,0.00327,0.80265,0.63555,0.71074,0.35716,1.96967,4.29805,0.00501,0.000521056,0.000521056,0.000521056
25,395.164,1.52282,2.85048,0.00328,0.8097,0.60086,0.71099,0.37755,1.91116,4.59183,0.00487,0.000518146,0.000518146,0.000518146
