epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.6231,3.30776,47.4467,0.00967,0.00027,0.00511,0.00014,4e-05,2.87497,21.4914,0.00841,8.232e-05,8.232e-05,8.232e-05
2,49.5112,2.4666,30.3377,0.0066,0.3319,0.05175,0.02173,0.00883,2.47796,14.2337,0.0067,0.000169676,0.000169676,0.000169676
3,64.5098,1.95265,18.0158,0.00469,0.08429,0.20486,0.06154,0.01724,2.84946,12.4373,0.00804,0.000256159,0.000256159,0.000256159
4,80.5683,1.90099,12.1463,0.00451,0.20474,0.27216,0.17827,0.05673,2.5468,9.9451,0.00667,0.000341768,0.000341768,0.000341768
5,96.4821,1.81102,9.23721,0.00427,0.26299,0.32504,0.21268,0.06202,2.55669,8.65383,0.00685,0.000426505,0.000426505,0.000426505
6,111.445,1.71486,7.79312,0.00396,0.35522,0.32407,0.25396,0.0744,2.81845,7.83242,0.00803,0.000510368,0.000510368,0.000510368
7,126.561,1.71656,6.66167,0.004,0.32134,0.33111,0.23337,0.06387,2.66106,8.82104,0.00717,0.000570536,0.000570536,0.000570536
8,141.697,1.70247,6.28512,0.00397,0.50985,0.41968,0.39182,0.14672,2.40245,7.40764,0.00672,0.000567626,0.000567626,0.000567626
9,156.768,1.68644,5.77877,0.0039,0.43877,0.4392,0.40898,0.15545,2.33461,7.13246,0.00639,0.000564715,0.000564715,0.000564715
10,171.942,1.69475,5.33057,0.00401,0.44661,0.40153,0.3267,0.08926,2.77625,7.23292,0.0079,0.000561805,0.000561805,0.000561805
11,186.991,1.63212,4.9207,0.00377,0.60685,0.50681,0.50246,0.17051,2.38591,6.07006,0.00639,0.000558894,0.000558894,0.000558894
12,202.231,1.66957,4.80429,0.00401,0.64478,0.49077,0.53006,0.21137,2.27634,5.66587,0.00594,0.000555983,0.000555983,0.000555983
13,217.218,1.70315,4.69304,0.00391,0.63946,0.53439,0.57417,0.24388,2.14177,6.048,0.00549,0.000553073,0.000553073,0.000553073
14,232.124,1.59186,4.3838,0.00372,0.60026,0.49913,0.50267,0.17966,2.40768,5.91007,0.00618,0.000550162,0.000550162,0.000550162
15,246.949,1.66935,4.08886,0.00385,0.60458,0.48866,0.46992,0.14207,2.59919,6.03645,0.00685,0.000547252,0.000547252,0.000547252
16,261.759,1.64914,4.11604,0.00379,0.69457,0.5434,0.57392,0.21484,2.36738,5.31662,0.00634,0.000544341,0.000544341,0.000544341
17,276.677,1.61832,3.91625,0.00345,0.66913,0.49254,0.54455,0.21794,2.24495,5.54453,0.00578,0.00054143,0.00054143,0.00054143
18,291.604,1.62367,4.04112,0.00369,0.59614,0.54175,0.53716,0.20934,2.28533,5.86025,0.00601,0.00053852,0.00053852,0.00053852
19,306.373,1.57007,3.76468,0.00367,0.77277,0.6002,0.67329,0.31518,2.02266,5.14191,0.00519,0.000535609,0.000535609,0.000535609
20,321.355,1.61901,3.68762,0.00359,0.77114,0.53147,0.6013,0.23024,2.33062,5.0704,0.00603,0.000532699,0.000532699,0.000532699
21,336.291,1.51161,3.40759,0.00334,0.75695,0.53186,0.63122,0.26994,2.13174,4.84433,0.00535,0.000529788,0.000529788,0.000529788
22,351.205,1.5424,3.16339,0.00339,0.72474,0.58879,0.65332,0.29813,2.04036,5.1661,0.00517,0.000526877,0.000526877,0.000526877
23,366.323,1.53051,3.10119,0.00345,0.74331,0.58927,0.65038,0.29213,2.07266,4.68952,0.00528,0.000523967,0.000523967,0.000523967
24,381.337,1.53345,2.95402,0.00319,0.71818,0.53645,0.5699,0.18573,2.46905,4.95905,0.00637,0.000521056,0.000521056,0.000521056
25,396.164,1.46764,2.76,0.00315,0.64926,0.52275,0.52206,0.15681,2.59565,4.83562,0.00682,0.000518146,0.000518146,0.000518146
26,410.932,1.47333,2.96109,0.00312,0.72015,0.54581,0.5845,0.20276,2.44453,5.49459,0.00636,0.000515235,0.000515235,0.000515235
27,425.709,1.51634,3.01338,0.00343,0.73975,0.58086,0.62814,0.23762,2.2699,4.52149,0.00568,0.000512324,0.000512324,0.000512324
28,440.622,1.46866,2.81519,0.0033,0.6415,0.49287,0.49914,0.14712,2.65755,5.26844,0.00689,0.000509414,0.000509414,0.000509414
29,455.546,1.45566,2.72915,0.00337,0.78026,0.58842,0.65792,0.26817,2.24484,4.43889,0.00561,0.000506503,0.000506503,0.000506503
30,470.355,1.46894,2.69621,0.00326,0.75682,0.57901,0.61786,0.22059,2.39153,4.82283,0.00606,0.000503593,0.000503593,0.000503593
31,485.135,1.4614,2.85956,0.0033,0.78745,0.57749,0.64821,0.25844,2.17324,4.68261,0.00546,0.000500682,0.000500682,0.000500682
32,499.927,1.45965,2.66105,0.00338,0.77317,0.57994,0.64914,0.27012,2.1439,4.38107,0.00539,0.000497771,0.000497771,0.000497771
33,514.739,1.49346,2.51733,0.00331,0.81122,0.60345,0.69996,0.34942,1.96097,4.20369,0.00494,0.000494861,0.000494861,0.000494861
34,529.645,1.4541,2.4974,0.00348,0.81533,0.61709,0.6957,0.30449,2.17774,4.24217,0.00557,0.00049195,0.00049195,0.00049195
35,544.471,1.44314,2.49312,0.00311,0.8069,0.56985,0.63438,0.21567,2.45892,4.60732,0.00642,0.00048904,0.00048904,0.00048904
36,559.191,1.4151,2.47432,0.00338,0.77825,0.58454,0.6223,0.20222,2.48293,4.61534,0.00629,0.000486129,0.000486129,0.000486129
37,573.914,1.39208,2.16253,0.003,0.83571,0.59386,0.66006,0.24822,2.32982,4.37414,0.00596,0.000483218,0.000483218,0.000483218
38,588.663,1.42447,2.52883,0.00325,0.84373,0.61494,0.69958,0.29923,2.15252,3.99152,0.00546,0.000480308,0.000480308,0.000480308
39,603.583,1.37224,2.00872,0.00302,0.86458,0.65564,0.75631,0.35079,2.01292,3.86614,0.00505,0.000477397,0.000477397,0.000477397
40,618.729,1.38834,2.05369,0.00304,0.82325,0.61754,0.68896,0.26101,2.27953,4.36224,0.00586,0.000474487,0.000474487,0.000474487
41,633.74,1.31873,2.02661,0.00317,0.75441,0.58766,0.62705,0.20547,2.47793,4.35536,0.00641,0.000471576,0.000471576,0.000471576
42,648.64,1.32925,2.09518,0.00302,0.86334,0.60755,0.70588,0.26417,2.25664,4.10583,0.00558,0.000468665,0.000468665,0.000468665
43,663.595,1.36562,2.08353,0.00315,0.81531,0.63059,0.7079,0.28847,2.17102,4.26548,0.00551,0.000465755,0.000465755,0.000465755
44,678.51,1.36657,2.20799,0.00321,0.8297,0.63859,0.7216,0.32401,2.0888,4.10187,0.00523,0.000462844,0.000462844,0.000462844
45,693.479,1.36236,1.97948,0.00298,0.7857,0.60822,0.67674,0.28603,2.10175,4.21387,0.00522,0.000459934,0.000459934,0.000459934
46,708.308,1.36927,1.94902,0.00308,0.81242,0.61173,0.67686,0.22801,2.4038,4.09185,0.00615,0.000457023,0.000457023,0.000457023
47,723.1,1.33335,1.99233,0.003,0.86613,0.64439,0.7326,0.30591,2.15174,3.92081,0.00545,0.000454112,0.000454112,0.000454112
48,737.944,1.31682,1.9755,0.00317,0.82074,0.64897,0.72071,0.30576,2.12321,3.90691,0.00531,0.000451202,0.000451202,0.000451202
49,752.78,1.37335,1.94258,0.00299,0.84824,0.65402,0.73878,0.35155,1.99768,3.88357,0.00501,0.000448291,0.000448291,0.000448291
50,767.673,1.36633,2.04148,0.00303,0.82561,0.61911,0.68932,0.25997,2.28789,4.15155,0.00567,0.000445381,0.000445381,0.000445381
51,782.509,1.32651,1.97733,0.00282,0.77269,0.61823,0.65341,0.21816,2.40416,4.19247,0.00621,0.00044247,0.00044247,0.00044247
52,797.35,1.30678,2.04116,0.00304,0.8119,0.65353,0.71447,0.28459,2.23283,3.79613,0.00558,0.000439559,0.000439559,0.000439559
53,812.104,1.24619,1.62827,0.00271,0.7811,0.63977,0.67225,0.23065,2.43527,4.05799,0.00639,0.000436649,0.000436649,0.000436649
54,826.847,1.33003,1.85094,0.00289,0.81038,0.58379,0.65339,0.23347,2.44612,4.27792,0.0065,0.000433738,0.000433738,0.000433738
55,841.564,1.28972,1.71034,0.003,0.82604,0.65896,0.72408,0.28127,2.29061,3.74974,0.00583,0.000430828,0.000430828,0.000430828
56,856.412,1.32696,1.70848,0.00307,0.8194,0.6562,0.72939,0.30908,2.13258,4.13958,0.00536,0.000427917,0.000427917,0.000427917
57,871.223,1.3178,1.76592,0.00307,0.83835,0.68544,0.74935,0.32501,2.16996,3.70941,0.00546,0.000425006,0.000425006,0.000425006
58,886.087,1.27031,1.53028,0.00273,0.81712,0.65693,0.73351,0.33605,2.00986,3.84091,0.00493,0.000422096,0.000422096,0.000422096
59,900.976,1.22879,1.58144,0.00267,0.87819,0.64509,0.74065,0.3306,2.08706,3.85793,0.00519,0.000419185,0.000419185,0.000419185
